0.0000    -0.3071909 -0.0653502 1.0252597  0.0008666 0.0002002 0.0252538  1.4327990 625.8129883   0.4692310 0.6723137 1.0936353  -0.7199959 -0.2448067 0.2703401  0.7353145 0.6011613   0.5627952 -0.5598315 -0.6219600
 0.0500    -0.3123311 0.0190052 1.0262610  0.0006719 0.0014868 0.0195521  1.5777366 619.2081909   0.4802061 0.7576387 1.1245153  -0.8102789 -0.2703098 0.3078059  0.8236219 0.6849407   0.6276654 -0.6177138 -0.7085476
 0.1000    -0.3190229 0.1066118 1.0279323  0.0004811 0.0031153 0.0137224  1.7179469 612.8999023   0.4926565 0.8463577 1.1562369  -0.9045370 -0.2969475 0.3469291  0.9158091 0.7725843   0.6954600 -0.6782145 -0.7991195
 0.1500    -0.3259564 0.1970082 1.0290375  0.0002872 0.0047555 0.0077856  1.8513076 606.8865356   0.5065760 0.9378281 1.1877197  -1.0031536 -0.3261713 0.3879295  1.0122664 0.8643738   0.7649555 -0.7402995 -0.8937877
 0.2000    -0.3330929 0.2894548 1.0293765  0.0000927 0.0063841 0.0018014  1.9796286 601.1663818   0.5221221 1.0336078 1.2069045  -1.1251666 -0.3878467 0.4398105  1.1318878 0.9765386   0.8223813 -0.7927129 -1.0060654
 0.2500    -0.3403980 0.3831995 1.0287790  -0.0000999 0.0079793 -0.0041691  2.0972436 595.7383423   0.5390668 1.1305543 1.2253917  -1.2494968 -0.4506965 0.4926687  1.2537768 1.0909719   0.8809265 -0.8461545 -1.1206100
 0.3000    -0.3506790 0.4607202 1.0505085  -0.0007219 0.0141239 -0.0042230  2.1502064 590.6010132   0.5620114 1.2084405 1.2508531  -1.3677166 -0.5148442 0.5472401  1.3764535 1.0164005   0.8518821 -0.7877039 -1.2199560
 0.3500    -0.4449629 0.1763253 1.2733944  -0.0038131 0.0827086 0.1098438  1.4207537 585.7330933   0.6384035 0.9070141 1.4288912  -1.3369068 -0.5840810 0.6212587  1.4555443 -2.1086526   -0.2636022 2.1387466 -0.3273003
 0.4000    -0.5533857 -0.2116468 1.5309062  -0.0052460 0.1659602 0.2570671  0.7031977 581.1116333   0.7065253 0.4968269 1.6454288  -1.2200444 -0.6533887 0.6832223  1.4990862 -5.7941584   -1.4265034 6.1888162 1.1104435
 0.4500    -0.8044871 -0.6706688 1.6028510  -0.0047343 0.1929624 0.4348467  0.0050035 576.7191772   0.9051093 0.0045287 1.7258998  -0.1164118 -0.6994543 -0.8133788  1.4482475 -8.3265965   -3.4344204 8.6147100 3.6219000
 0.5000    -1.0540572 -1.1329065 1.3870447  -0.0016541 0.1311564 0.6187610  -0.4524103 581.6118164   1.0796264 -0.4884342 1.5505788  0.5697164 -0.7175541 -1.9563710  0.6528162 -9.3092358   -6.7770597 8.8761256 7.4629680
 0.5500    -0.9207099 -0.8620376 1.0329171  0.0021272 0.0496470 0.5515823  -0.2292005 691.8278809   0.9408739 -0.2156488 1.1613227  -0.9652043 -0.7038169 -0.6150252  0.3655601 -6.6120425   -6.6978326 8.2403171 7.6555907
 0.6000    -0.6755163 -0.1711392 0.6694247  0.0050685 -0.0363494 0.3481619  0.6644109 811.9425659   0.7594314 0.5045745 0.7283603  -1.6308442 -0.7175785 0.7156218  1.1485027 -2.6739127   -5.3102111 4.9607473 5.9111523
 0.6500    -0.5133325 0.5462597 0.4401733  0.0052264 -0.0811590 0.1490464  1.7905044 941.9583130   0.7191317 1.2876085 0.4786266  -1.9353656 -0.7621806 0.8110917  1.4994357 0.4240358   -3.4395389 1.4186717 3.4830054
 0.7000    -0.4061745 1.2281808 0.5423310  0.0018787 -0.0236339 -0.0206494  2.6447491 1081.7463379   0.7619267 2.0151050 0.5974069  -2.1068342 -0.8887726 0.9075595  1.8375199 1.9885943   -0.3818543 -0.5823020 -0.0195716
 0.7500    -0.4030734 1.8878347 0.6038303  -0.0004434 0.0193308 -0.1863780  2.9861810 1231.2155762   0.8932024 2.6672640 0.6567380  -2.3083839 -1.0485145 1.0245929  2.1568870 3.5993332   2.3623517 -2.4634902 -2.9636051
 0.8000    -0.5164028 2.4984083 0.5596619  -0.0009844 0.0283607 -0.3492750  2.8794579 1390.0883789   1.1164974 3.2149073 0.5990427  -2.5193629 -1.2037887 1.1582018  2.3902757 5.3937968   4.5639455 -4.4094189 -5.1326719
 0.8500    -0.5313787 2.5832477 0.4706491  -0.0005744 0.0226192 -0.3659070  2.8799889 1558.3278809   1.1420899 3.2892062 0.5032807  -2.4926325 -1.2056221 1.1591290  2.3611881 5.4127265   4.6414742 -4.4806287 -5.1608317
