0.0000000    1.8849556 0.6859144 0.6090772   	0.0027723 30.0691872 10.8461647    0.3473238 0.0000048 6.1959195
 0.0500000    1.8849556 0.6859147 1.1403159   	0.0165293 30.0640850 10.3543892    0.3386975 0.0001981 6.1959295
 0.1000000    1.8849556 0.6859149 1.6469909   	0.0301298 30.0585594 9.8637352    0.3301845 0.0006277 6.1959491
 0.1500000    1.8849556 0.6859152 2.1291587   	0.0435768 30.0526161 9.3742199    0.3217498 0.0012200 6.1959877
 0.2000000    1.8849556 0.6859154 2.5868769   	0.0568706 30.0462685 8.8858585    0.3133584 0.0019020 6.1960559
 0.2500000    1.8849556 0.6859156 3.0202029   	0.0700099 30.0395355 8.3986578    0.3049757 0.0026022 6.1961627
 0.3000000    1.8849556 0.6859159 3.4291952   	0.0830280 30.0324421 7.9126215    0.2965679 0.0032513 6.1963172
 0.3500000    1.8849556 0.6859161 3.8138819   	0.0973708 30.0250149 7.4255075    0.2882130 0.0034843 6.1965981
 0.4000000    1.8849556 0.6859163 4.1741138   	0.1147577 30.0173931 6.9337492    0.2804804 0.0023241 6.1973605
 0.4500000    1.8849556 0.6859166 4.5096383   	0.1346723 30.0090656 6.4364519    0.2741798 -0.0008308 6.1990519
 0.5000000    1.8849556 0.6859168 4.8201518   	0.1723212 30.2325954 5.9975266    0.2702557 -0.0057768 6.2017984
 0.5500000    1.8849556 0.6859171 5.1260762   	0.4121437 33.0247269 6.2664599    0.2696944 -0.0114340 6.2053185
 0.6000000    1.8849556 0.6859173 5.4456186   	0.6387748 35.8196678 6.5465317    0.2726958 -0.0163250 6.2092075
 0.6500000    1.8849556 0.6859176 5.7797084   	0.8502620 38.6142387 6.8529177    0.2783637 -0.0187885 6.2128496
 0.7000000    1.8849556 0.6859179 6.1298752   	1.0524930 41.4040108 7.1941905    0.2853611 -0.0183895 6.2158570
 0.7500000    1.8849556 0.6859183 6.4979963   	1.2501866 44.1865463 7.5755081    0.2921058 -0.0167136 6.2186127
 0.8000000    1.8849556 0.6859186 6.8860722   	1.4411458 46.9577332 7.9954724    0.2965991 -0.0153291 6.2215471
